Year,Total,Sex,Age group,Value
2010,Total,,,0
2010,,Man,,0
2010,,Woman,,0
2010,,,,0
2011,Total,,,0
2011,,Man,,0
2011,,Woman,,0
2011,,,,0
2012,Total,,,0
2012,,Man,,0
2012,,Woman,,0
2012,,,,0
2013,Total,,,0
2013,,Man,,0
2013,,Woman,,0
2013,,,,0
2014,Total,,,0
2014,,Man,,0
2014,,Woman,,0
2014,,,,0
2015,Total,,,0
2015,,Man,,0
2015,,Woman,,0
2015,,,,0
2016,Total,,,0
2016,,Man,,0
2016,,Woman,,0
2016,,,,0
2017,Total,,,0
2017,,Man,,0
2017,,Woman,,0
2017,,,,0
2018,Total,,,0
2018,,Man,,0
2018,,Woman,,0
2018,,,,0
