Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,15-24,,
2010,,,25-34,,
2010,,,35-44,,
2010,,,45-54,,
2010,,,55-64,,
2010,,,65-74,,
2010,,,75+,,
2010,,,,I,
2010,,,,Ii,
2010,,,,Iii,
2010,,,,Iv,
2010,,,,V,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,15-24,,
2011,,,25-34,,
2011,,,35-44,,
2011,,,45-54,,
2011,,,55-64,,
2011,,,65-74,,
2011,,,75+,,
2011,,,,I,
2011,,,,Ii,
2011,,,,Iii,
2011,,,,Iv,
2011,,,,V,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,15-24,,
2012,,,25-34,,
2012,,,35-44,,
2012,,,45-54,,
2012,,,55-64,,
2012,,,65-74,,
2012,,,75+,,
2012,,,,I,
2012,,,,Ii,
2012,,,,Iii,
2012,,,,Iv,
2012,,,,V,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,15-24,,
2013,,,25-34,,
2013,,,35-44,,
2013,,,45-54,,
2013,,,55-64,,
2013,,,65-74,,
2013,,,75+,,
2013,,,,I,
2013,,,,Ii,
2013,,,,Iii,
2013,,,,Iv,
2013,,,,V,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,Men,,,
2014,,Women,,,
2014,,,15-24,,
2014,,,25-34,,
2014,,,35-44,,
2014,,,45-54,,
2014,,,55-64,,
2014,,,65-74,,
2014,,,75+,,
2014,,,,I,
2014,,,,Ii,
2014,,,,Iii,
2014,,,,Iv,
2014,,,,V,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,Men,,,
2015,,Women,,,
2015,,,15-24,,
2015,,,25-34,,
2015,,,35-44,,
2015,,,45-54,,
2015,,,55-64,,
2015,,,65-74,,
2015,,,75+,,
2015,,,,I,
2015,,,,Ii,
2015,,,,Iii,
2015,,,,Iv,
2015,,,,V,
2016,,,,,
2016,Urban,,,,
2016,Rural,,,,
2016,,Men,,,
2016,,Women,,,
2016,,,15-24,,
2016,,,25-34,,
2016,,,35-44,,
2016,,,45-54,,
2016,,,55-64,,
2016,,,65-74,,
2016,,,75+,,
2016,,,,I,
2016,,,,Ii,
2016,,,,Iii,
2016,,,,Iv,
2016,,,,V,
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,Men,,,
2017,,Women,,,
2017,,,15-24,,
2017,,,25-34,,
2017,,,35-44,,
2017,,,45-54,,
2017,,,55-64,,
2017,,,65-74,,
2017,,,75+,,
2017,,,,I,
2017,,,,Ii,
2017,,,,Iii,
2017,,,,Iv,
2017,,,,V,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,Men,,,
2018,,Women,,,
2018,,,15-24,,
2018,,,25-34,,
2018,,,35-44,,
2018,,,45-54,,
2018,,,55-64,,
2018,,,65-74,,
2018,,,75+,,
2018,,,,I,
2018,,,,Ii,
2018,,,,Iii,
2018,,,,Iv,
2018,,,,V,
